sentence	sentence_tagged	regulator	regulated	span_regulator_regulated	label
Using in vitro assays and mutagenesis of promoter fusions in whole cells , we identified the cis regulatory element involved in MarA upregulation of the oxygeninsensitive nitroreductase nfnB gene .	Using in vitro assays and mutagenesis of promoter fusions in whole cells , we identified the cis regulatory element involved in @TF$ upregulation of the oxygeninsensitive nitroreductase @Regulated$ gene .	MarA	nfnB	[[128, 132], [186, 190]]	activator
Transient repressor effect of Fis on the growth phase - regulated osmE promoter of Escherichia coli K12 .	Transient repressor effect of @TF$ on the growth phase - regulated @Regulated$ promoter of Escherichia coli K12 .	Fis	osmE	[[30, 33], [66, 70]]	repressor
Combined , the effector modulated activation of argO transcription by ArgP and Lrp must ensure an adapted and fine - tuned synthesis of the transporter in response to environmental conditions .	Combined , the effector modulated activation of @Regulated$ transcription by ArgP and @TF$ must ensure an adapted and fine - tuned synthesis of the transporter in response to environmental conditions .	Lrp	argO	[[79, 82], [48, 52]]	activator
Mechanism of activation by CRP at rhaSR .	Mechanism of activation by @TF$ at @Regulated$ .	CRP	rhaSR	[[27, 30], [34, 39]]	activator
Both gntT and gntKU are regulated positively by the cyclic AMP ( cAMP ) - cAMP receptor protein ( CRP ) complex and negatively by GntR ; one GntR - binding element for gntK has been proposed ( 12 , 34 ) , and two GntR - binding elements for gntT were experimentally defined ( 26 ) .	Both @Regulated$ and gntKU are regulated positively by the cyclic AMP ( cAMP ) - cAMP receptor protein ( CRP ) complex and negatively by GntR ; one GntR - binding element for gntK has been proposed ( 12 , 34 ) , and two @TF$ - binding elements for gntT were experimentally defined ( 26 ) .	GntR	gntT	[[213, 217], [5, 9]]	no_relation
Previous results showing an interaction between RhaS D241 and 70 R599 at rhaBAD ( 4 ) led us to investigate whether an interaction between RhaR D276 and 70 R599 might be required for RhaR activation at rhaSR .	Previous results showing an interaction between RhaS D241 and 70 R599 at rhaBAD ( 4 ) led us to investigate whether an interaction between @TF$ D276 and 70 R599 might be required for RhaR activation at @Regulated$ .	RhaR	rhaSR	[[139, 143], [202, 207]]	no_relation
Previously , overexpression of Rob was shown to induce multiple antibiotic and superoxide resistance phenotypes ( 3 ) , to activate expression of fumC , inaA , and sodA in vivo ( 3 ) , and to activate the transcription of six mar / soxRS regulon promoters in vitro by mechanisms that are strikingly similar to that of MarA and SoxS ( 22 ) .	Previously , overexpression of @TF$ was shown to induce multiple antibiotic and superoxide resistance phenotypes ( 3 ) , to activate expression of fumC , @Regulated$ , and sodA in vivo ( 3 ) , and to activate the transcription of six mar / soxRS regulon promoters in vitro by mechanisms that are strikingly similar to that of MarA and SoxS ( 22 ) .	Rob	inaA	[[31, 34], [153, 157]]	activator
As expected , expression of known AraC - regulated genes , i . e . , araB , araA , araD , araE , araF , February 2014 Volume 196 Number 3 jb . asm . org 663Stringer et al . FIG 1 ( A ) Validation of putative E . coli AraC target regions identified by ChIP - chip .	As expected , expression of known @TF$ - regulated genes , i . e . , araB , araA , araD , @Regulated$ , araF , February 2014 Volume 196 Number 3 jb . asm . org 663Stringer et al . FIG 1 ( A ) Validation of putative E . coli AraC target regions identified by ChIP - chip .	AraC	araE	[[34, 38], [90, 94]]	regulator
We demonstrate in this paper that the mechanism of stimulation of transcription by IciA protein may include : ( i ) the binding of two dimers of IciA protein to the IciA I site , which is located â€“ 50 to â€“ 63 from the transcription start site of dnaA promoter 1P ; and ( ii ) the stimulation of RNA polymerase binding to the promoter by two IciA protein dimers on the IciA I site .	We demonstrate in this paper that the mechanism of stimulation of transcription by @TF$ protein may include : ( i ) the binding of two dimers of IciA protein to the IciA I site , which is located â€“ 50 to â€“ 63 from the transcription start site of @Regulated$ promoter 1P ; and ( ii ) the stimulation of RNA polymerase binding to the promoter by two IciA protein dimers on the IciA I site .	IciA	dnaA	[[83, 87], [250, 254]]	activator
Subsequent to rhaSR expression , RhaS binds DNA upstream of rhaBAD at 32 to 81 relative to the transcription start site to increase rhaBAD expression by approximately 1,000 - fold ( to 10 Miller units in single copy ) .	Subsequent to rhaSR expression , @TF$ binds DNA upstream of rhaBAD at 32 to 81 relative to the transcription start site to increase @Regulated$ expression by approximately 1,000 - fold ( to 10 Miller units in single copy ) .	RhaS	rhaBAD	[[33, 37], [132, 138]]	no_relation
Nitrate - and nitrite - mediated expression of the hcp is dependent on NarL and NarP Sequence analysis of the hcp regulatory region suggested that it contains a binding site for FNR and also binding sites for nitrite - and nitrate - activated regulators , NarL and NarP ( Figure 1 ) .	Nitrate - and nitrite - mediated expression of the hcp is dependent on NarL and NarP Sequence analysis of the @Regulated$ regulatory region suggested that it contains a binding site for FNR and also binding sites for nitrite - and nitrate - activated regulators , NarL and @TF$ ( Figure 1 ) .	NarP	hcp	[[265, 269], [110, 113]]	no_relation
Auto - activation of the marRAB multiple antibiotic resistance operon by the MarA transcriptional activator in Escherichia coli .	Auto - activation of the @Regulated$ multiple antibiotic resistance operon by the @TF$ transcriptional activator in Escherichia coli .	MarA	marRAB	[[77, 81], [25, 31]]	activator
NagC is required for full repression of the chbB operon and it serves to limit induction when the supply of chitobiose is low .	@TF$ is required for full repression of the @Regulated$ operon and it serves to limit induction when the supply of chitobiose is low .	NagC	chbB	[[0, 4], [44, 48]]	repressor
While NarL was still able to activate and to repress nrfA gene expression , the pattern differed from the wild - type nrfA - lacZ reporter fusion ( Fig . 6B ) .	While @TF$ was still able to activate and to repress @Regulated$ gene expression , the pattern differed from the wild - type nrfA - lacZ reporter fusion ( Fig . 6B ) .	NarL	nrfA	[[6, 10], [53, 57]]	repressor
The most intensely examined operon is araBAD , where AraC is required for repression and activation of BAD transcription ( reviewed by Schleif , 1992 ) .	The most intensely examined operon is @Regulated$ , where @TF$ is required for repression and activation of BAD transcription ( reviewed by Schleif , 1992 ) .	AraC	araBAD	[[53, 57], [38, 44]]	activator
The strong upregulation of nfnB by the plasmidspecified MarA observed in this study contrasts with the reported weaker upregulation of NfnB activity and nfnB expression by SoxS ( Liochev et al . , 1999 ; Pomposiello et al . , 2001 ) .	The strong upregulation of @Regulated$ by the plasmid specified MarA observed in this study contrasts with the reported weaker upregulation of NfnB activity and nfnB expression by @TF$ ( Liochev et al . , 1999 ; Pomposiello et al . , 2001 ) .	SoxS	nfnB	[[177, 178], [27, 31]]	activator
RhaS activates transcription from rhaBAD , and transcription from the rhaS gene is controlled by RhaR ( 63 , 244 ) .	RhaS activates transcription from rhaBAD , and transcription from the @Regulated$ gene is controlled by @TF$ ( 63 , 244 ) .	RhaR	rhaS	[[97, 101], [70, 74]]	regulator
