REGULATOR	REGULATED	EFFECT
Fur	sitA	Regulator
RpoS	otsA	Regulator
RpoS	clpX	Regulator
LysR	stmR	Regulator
PhoP	corA	Regulator
Rob	acrR	Regulator
SirA	prgH	Regulator
SirC	prgH	Regulator
FimW	fimY	Regulator
CRP	rpoH	Regulator
DnaA	rpoH	Regulator
CytR	rpoH	Regulator
CsrA	rsmB	Regulator
MarA	micF	Regulator
InvF	sirA	Regulator
SirA	flgA	Regulator
ClpX	clpX	Regulator
MviA	rpoS	Regulator
IgaA	rcsA	Regulator
Lrp	relA	Regulator
IHF	relA	Regulator
PhoP	tolQ	Regulator
SdiA	flhC	Regulator
SdiA	luxS	Regulator
Fur	fepD	Regulator
Fur	sufC	Regulator
Fur	sufS	Regulator
Fur	feoB	Regulator
HilA	tag	Regulator
RpoS	bolA	Regulator
RpoS	csgC	Regulator
RpoS	ftsQ	Regulator
RpoS	ftsZ	Regulator
RpoS	glgS	Regulator
RpoS	katG	Regulator
RpoS	narV	Regulator
RpoS	narW	Regulator
RpoS	narY	Regulator
RpoS	narZ	Regulator
RpoS	osmB	Regulator
RpoS	otsB	Regulator
RpoS	spvC	Regulator
RpoS	spvD	Regulator
RpoS	treA	Regulator
RpoS	yciG	Regulator
RpoS	yohF	Regulator
LysR	ydcI	Regulator
ArcA	fnr	Regulator
PmrA	surA	Regulator
PmrA	tolB	Regulator
PmrA	gnd	Regulator
PmrA	imp	Regulator
GntR	STM4068	Regulator
STM4068	STM4065	Regulator
STM4068	STM4067	Regulator
STM4068	STM4066	Regulator
PhoP	tag	Regulator
PrpR	prpE	Regulator
CRP	pocR	Regulator
CRP	nor	Regulator
Hu	araBAD	Regulator
PhoP	aroA	Regulator
SoxR	add	Regulator
PmrA	hit	Regulator
PmrA	leuO	Regulator
PmrA	aroQ	Regulator
PmrA	yrbF	Regulator
PmrA	yjgD	Regulator
PmrA	ybdO	Regulator
PmrA	yejG	Regulator
PmrA	lasT	Regulator
PmrA	ybdN	Regulator
PmrA	STM1868A	Regulator
STM0344	yhcN	Regulator
STM0344	STM1868A	Regulator
STM0344	yceP	Regulator
STM0344	atpF	Regulator
STM0344	yjgD	Regulator
STM0344	csrA	Regulator
STM0344	ybfA	Regulator
LsrR	ydeW	Regulator
Fis	virB	Regulator
IHF	virB	Regulator
STM4417	STM4436	Regulator
LysR	STM3117	Regulator
LysR	STM3123	Regulator
STM1127	STM1133	Regulator
STM2694	STM2740	Regulator
AcrR	acrR	Regulator
LysR	ampC	Regulator
PmrA	STM4118	Regulator
PmrA	lacZ	Regulator
PmrA	yijP	Regulator
PmrA	nor	Regulator
PmrA	STM4293	Regulator
PmrA	add	Regulator
STM0859	mig	Regulator
STM0859	slyA	Regulator
STM0859	pmrD	Regulator
STM0859	traM	Regulator
H-NS	proV	Regulator
H-NS	STM2868	Regulator
NikR	nikA	Regulator
STM4315	STM4318	Regulator
Crl	poxB	Regulator
Crl	bolA	Regulator
RpoS	bcsA	Regulator
FlhD	fliDST	Regulator
HilA	STM4255	Regulator
RtsA	flhDC	Regulator
RpoS	hmp	Regulator
IHF	hmp	Regulator
MetR	glyA	Regulator
PurR	glyA	Regulator
PurR	hmp	Regulator
CsgD	hmp	Regulator
H-NS	leuO	Regulator
TrpR	mgtA	Regulator
SlyA	rfaH	Regulator
SirA	siiE	Regulator
RtsA	siiE	Regulator
RtsB	siiE	Regulator
PhoP	tolC	Regulator
Fur	hilE	Regulator
Fur	hilC	Regulator
HilD	sodB	Regulator
